model_name,status,selected_threshold,validation_auc,validation_f1,validation_recall_positive,test_auc,test_f1,test_recall_positive
catboost,ok,0.49999999999999994,0.8626830969541968,0.6616862326574173,0.8288770053475936,0.8558730617554147,0.6258503401360545,0.7379679144385026
logistic_regression,ok,0.6,0.8592084528145909,0.662020905923345,0.7620320855614974,0.856595709536886,0.6454767726161369,0.7058823529411765
xgboost,ok,0.44999999999999996,0.8545118706244026,0.6533613445378151,0.8315508021390374,0.847170317758553,0.6269315673289183,0.7593582887700535
lightgbm,ok,0.44999999999999996,0.8542509493916144,0.6404371584699453,0.7834224598930482,0.8433196374372846,0.6258503401360545,0.7379679144385026
