boruta,sdae,smote,bagging,cost_sensitive,AUC,F1,Recall
False,False,False,False,False,0.856595709536886,0.6324786324786325,0.7914438502673797
True,False,False,False,False,0.8507319389672331,0.6217391304347826,0.7647058823529411
True,True,False,False,False,0.8490595255301137,0.6258205689277899,0.7647058823529411
True,True,True,False,False,0.8480374950963186,0.6088992974238876,0.6951871657754011
True,True,True,True,False,0.8484297896062603,0.6336633663366337,0.6844919786096256
True,True,True,True,True,0.8518365577189106,0.6466165413533834,0.6898395721925134
