iter	Passed	Remaining
439	1294	1647
440	1297	1644
441	1299	1641
442	1302	1637
443	1304	1633
444	1307	1630
445	1309	1626
446	1312	1623
447	1314	1620
448	1318	1617
449	1320	1613
450	1323	1610
451	1325	1607
452	1327	1603
453	1330	1600
454	1332	1596
455	1335	1593
456	1337	1589
457	1340	1586
458	1342	1582
459	1345	1579
460	1348	1576
461	1350	1572
462	1353	1569
463	1355	1565
464	1357	1562
465	1360	1559
466	1362	1555
467	1365	1552
468	1367	1548
469	1370	1545
470	1372	1542
471	1375	1538
472	1378	1535
473	1380	1532
474	1383	1528
475	1385	1525
476	1388	1522
477	1390	1518
478	1393	1515
479	1396	1512
480	1398	1508
481	1400	1505
482	1403	1502
483	1406	1499
484	1408	1495
485	1411	1492
486	1413	1489
487	1416	1485
488	1418	1482
489	1421	1479
490	1423	1476
491	1426	1472
492	1428	1469
493	1431	1466
494	1433	1462
495	1436	1459
496	1438	1456
497	1441	1452
498	1443	1449
499	1446	1446
500	1448	1442
501	1451	1439
502	1454	1436
503	1456	1433
504	1459	1430
505	1461	1426
506	1464	1423
507	1466	1420
508	1468	1416
509	1471	1413
510	1473	1410
511	1476	1407
512	1478	1403
513	1481	1401
514	1484	1398
515	1487	1394
516	1489	1391
517	1492	1388
518	1494	1385
519	1497	1382
520	1500	1379
521	1502	1375
522	1504	1372
523	1507	1369
524	1509	1366
525	1512	1362
526	1514	1359
527	1517	1356
528	1520	1353
529	1522	1350
530	1525	1347
531	1527	1343
532	1530	1340
533	1532	1337
534	1535	1334
535	1537	1331
536	1540	1327
537	1542	1324
538	1545	1321
539	1547	1318
540	1550	1315
541	1552	1312
542	1555	1308
543	1558	1306
544	1560	1303
545	1563	1299
546	1565	1296
547	1568	1293
548	1570	1290
549	1573	1287
550	1576	1284
551	1578	1281
552	1581	1277
553	1583	1274
554	1585	1271
555	1588	1268
556	1591	1265
557	1593	1262
558	1596	1259
559	1598	1256
560	1601	1252
561	1603	1249
562	1606	1246
563	1608	1243
564	1611	1240
565	1613	1237
566	1615	1234
567	1618	1230
568	1620	1227
569	1623	1224
570	1625	1221
571	1628	1218
572	1630	1215
573	1633	1212
574	1635	1209
575	1638	1205
576	1640	1202
577	1643	1199
578	1645	1196
579	1648	1193
580	1650	1190
581	1653	1187
582	1655	1184
583	1658	1181
584	1660	1178
585	1662	1174
586	1665	1171
587	1668	1168
588	1671	1166
589	1673	1162
590	1676	1159
591	1678	1156
592	1681	1153
593	1683	1150
594	1686	1147
595	1688	1144
596	1691	1141
597	1693	1138
598	1696	1135
599	1699	1132
600	1701	1129
601	1703	1126
602	1706	1123
603	1708	1120
604	1711	1117
605	1714	1114
606	1716	1111
607	1719	1108
608	1721	1105
609	1724	1102
610	1726	1099
611	1729	1096
612	1731	1093
613	1734	1090
614	1736	1087
615	1739	1084
616	1742	1081
617	1744	1078
618	1747	1075
619	1749	1072
620	1751	1069
621	1754	1066
622	1756	1063
623	1759	1060
624	1761	1057
625	1764	1054
626	1766	1050
627	1769	1047
628	1773	1046
629	1776	1043
630	1778	1040
631	1781	1037
632	1783	1034
633	1785	1030
634	1788	1028
635	1791	1025
636	1793	1022
637	1796	1019
638	1798	1016
639	1801	1013
640	1803	1010
641	1806	1007
642	1808	1004
643	1811	1001
644	1813	998
645	1816	995
646	1818	992
647	1821	989
648	1823	986
649	1826	983
650	1828	980
651	1830	977
652	1833	974
653	1835	971
654	1838	968
655	1841	965
656	1843	962
657	1846	959
658	1848	956
659	1851	953
660	1853	950
661	1856	947
662	1858	944
663	1861	941
664	1863	938
665	1866	935
666	1868	932
667	1871	929
668	1873	926
669	1875	923
670	1878	921
671	1881	918
672	1883	915
673	1885	912
674	1888	909
675	1891	906
676	1893	903
677	1896	900
678	1898	897
679	1901	894
680	1903	891
681	1906	888
682	1908	885
683	1911	883
684	1913	880
685	1916	877
686	1918	874
687	1921	871
688	1923	868
689	1926	865
690	1928	862
691	1931	859
692	1933	856
693	1936	853
694	1938	850
695	1941	847
696	1943	845
697	1946	842
698	1948	839
699	1951	836
700	1953	833
701	1956	830
702	1958	827
703	1961	824
704	1963	821
705	1966	818
706	1968	815
707	1971	813
708	1974	810
709	1977	807
710	1979	804
711	1982	801
712	1985	799
713	1987	796
714	1990	793
715	1992	790
716	1995	787
717	1997	784
718	2000	781
719	2002	778
720	2005	775
721	2007	772
722	2009	770
723	2012	767
724	2014	764
725	2017	761
726	2020	758
727	2022	755
728	2025	752
729	2027	749
730	2030	747
731	2032	744
732	2035	741
733	2037	738
734	2039	735
735	2042	732
736	2044	729
737	2047	726
738	2049	723
739	2052	721
740	2054	718
741	2057	715
742	2059	712
743	2062	709
744	2064	706
745	2067	703
746	2069	700
747	2072	698
748	2074	695
749	2077	692
750	2079	689
751	2082	686
752	2084	683
753	2087	680
754	2089	678
755	2092	675
756	2094	672
757	2097	669
758	2099	666
759	2102	663
760	2104	660
761	2107	658
762	2109	655
763	2112	652
764	2114	649
765	2117	646
766	2119	643
767	2123	641
768	2125	638
769	2128	635
770	2130	632
771	2133	630
772	2135	627
773	2138	624
774	2141	621
775	2143	618
776	2146	615
777	2148	613
778	2151	610
779	2153	607
780	2156	604
781	2159	601
782	2161	599
783	2164	596
784	2166	593
785	2169	590
786	2171	587
787	2173	584
788	2176	582
789	2178	579
790	2181	576
791	2184	573
792	2186	570
793	2189	567
794	2191	565
795	2194	562
796	2196	559
797	2199	556
798	2201	553
799	2204	551
800	2206	548
801	2209	545
802	2212	542
803	2214	539
804	2217	537
805	2219	534
806	2221	531
807	2224	528
808	2226	525
809	2229	522
810	2231	520
811	2234	517
812	2236	514
813	2239	511
814	2241	508
815	2244	506
816	2246	503
817	2249	500
818	2251	497
819	2254	494
820	2256	492
821	2259	489
822	2261	486
823	2264	483
824	2266	480
825	2269	478
826	2272	475
827	2274	472
828	2277	469
829	2279	466
830	2282	464
831	2284	461
832	2287	458
833	2290	455
834	2292	453
835	2295	450
836	2297	447
837	2300	444
838	2302	441
839	2305	439
840	2307	436
841	2310	433
842	2312	430
843	2315	427
844	2317	425
845	2320	422
846	2322	419
847	2325	416
848	2327	413
849	2330	411
850	2332	408
851	2335	405
852	2337	402
853	2340	400
854	2342	397
855	2345	394
856	2347	391
857	2350	388
858	2352	386
859	2355	383
860	2357	380
861	2360	377
862	2362	375
863	2365	372
864	2367	369
865	2370	366
866	2372	363
867	2375	361
868	2377	358
869	2380	355
870	2382	352
871	2385	350
872	2388	347
873	2390	344
874	2392	341
875	2395	339
876	2397	336
877	2400	333
878	2403	330
879	2405	328
880	2408	325
881	2410	322
882	2413	319
883	2415	316
884	2418	314
885	2420	311
886	2422	308
887	2425	305
888	2428	303
889	2430	300
890	2432	297
891	2435	294
892	2437	292
893	2440	289
894	2443	286
895	2445	283
896	2448	281
897	2450	278
898	2453	275
899	2456	272
900	2458	270
901	2461	267
902	2463	264
903	2465	261
904	2468	259
905	2471	256
906	2473	253
907	2476	250
908	2479	248
909	2481	245
910	2483	242
911	2486	239
912	2489	237
913	2492	234
914	2495	231
915	2497	229
916	2500	226
917	2503	223
918	2505	220
919	2508	218
920	2511	215
921	2514	212
922	2516	209
923	2519	207
924	2521	204
925	2524	201
926	2527	198
927	2529	196
928	2532	193
929	2535	190
930	2537	188
931	2540	185
932	2542	182
933	2546	179
934	2548	177
935	2551	174
936	2553	171
937	2556	168
938	2559	166
939	2561	163
940	2564	160
941	2567	158
942	2569	155
943	2572	152
944	2574	149
945	2577	147
946	2580	144
947	2582	141
948	2585	138
949	2587	136
950	2590	133
951	2593	130
952	2595	128
953	2597	125
954	2600	122
955	2602	119
956	2605	117
957	2608	114
958	2610	111
959	2613	108
960	2615	106
961	2618	103
962	2620	100
963	2623	97
964	2626	95
965	2628	92
966	2631	89
967	2633	87
968	2636	84
969	2638	81
970	2641	78
971	2644	76
972	2647	73
973	2649	70
974	2652	68
975	2655	65
976	2657	62
977	2660	59
978	2662	57
979	2665	54
980	2668	51
981	2670	48
982	2673	46
983	2676	43
984	2678	40
985	2681	38
986	2684	35
987	2686	32
988	2689	29
989	2691	27
990	2694	24
991	2697	21
992	2699	19
993	2702	16
994	2704	13
995	2707	10
996	2710	8
997	2713	5
998	2715	2
999	2718	0
