iter	Logloss
0	0.6846387233
1	0.6745845619
2	0.6644475277
3	0.6551321878
4	0.6458106885
5	0.6366410202
6	0.6284748461
7	0.6221490796
8	0.6160048675
9	0.6080395267
10	0.60252069
11	0.5970034538
12	0.5920426025
13	0.5854260652
14	0.5811334178
15	0.5753312669
16	0.5696864885
17	0.5649135947
18	0.561424118
19	0.5568422616
20	0.5529900877
21	0.5488471315
22	0.5459368251
23	0.5418464332
24	0.5383050856
25	0.5349651922
26	0.5317572341
27	0.5290131197
28	0.5258933076
29	0.5240472757
30	0.5217790425
31	0.5197872734
32	0.5172017541
33	0.515389291
34	0.5128849995
35	0.5104457565
36	0.5086281819
37	0.5064297177
38	0.5046189745
39	0.502941665
40	0.5008467099
41	0.4991908817
42	0.4976872493
43	0.4963593301
44	0.4949558086
45	0.4932323123
46	0.4916368461
47	0.4903410134
48	0.4890158188
49	0.4876186161
50	0.4861071689
51	0.4852568968
52	0.4840246802
53	0.4829042491
54	0.4817042251
55	0.4806443169
56	0.4797768361
57	0.4786352878
58	0.4777477661
59	0.4767042658
60	0.475683949
61	0.474819175
62	0.4739194459
63	0.4732802385
64	0.4725109364
65	0.4717343073
66	0.4709371903
67	0.4702693612
68	0.4695052332
69	0.4683568026
70	0.4678708774
71	0.4672867131
72	0.466697989
73	0.466347688
74	0.4657359244
75	0.4652006359
76	0.4645611272
77	0.4640310773
78	0.4633913569
79	0.4626100499
80	0.4619904484
81	0.4614059739
82	0.4609304961
83	0.4603243811
84	0.4597044801
85	0.4592704312
86	0.4589869296
87	0.4585158618
88	0.4578065936
89	0.4574077197
90	0.4567787535
91	0.4562852426
92	0.4557358189
93	0.4552312805
94	0.4545710345
95	0.4540904241
96	0.45359237
97	0.4531829818
98	0.4529015124
99	0.4527626855
100	0.4524393609
101	0.4518476837
102	0.4515333603
103	0.4511217
104	0.4507879412
105	0.4506154775
106	0.4502796694
107	0.4499025013
108	0.4495369616
109	0.4493367366
110	0.4488021841
111	0.448452652
112	0.4481073969
113	0.4476979514
114	0.4473873765
115	0.447019644
116	0.4465638888
117	0.4463230988
118	0.4459513318
119	0.4455297513
120	0.4451100342
121	0.444606794
122	0.4441791187
123	0.4438763474
124	0.4435447259
125	0.4432181081
126	0.4427781282
127	0.4423716325
128	0.4420313334
129	0.4419420326
130	0.4416783112
131	0.4414202339
132	0.4410991521
133	0.4408753275
134	0.4404816568
135	0.4403284253
136	0.439980698
137	0.4397831465
138	0.4393576383
139	0.4390691869
140	0.4386204477
141	0.4384082748
142	0.4381037997
143	0.4378124938
144	0.4374842786
145	0.4372072394
146	0.4368843654
147	0.4365152392
148	0.4361382605
149	0.4358543442
150	0.4356262626
151	0.4355332451
152	0.435220756
153	0.4349959114
154	0.4347643808
155	0.4345171847
156	0.4343983624
157	0.4341988718
158	0.4338901135
159	0.4337170479
160	0.4332748032
161	0.4330225747
162	0.4328641514
163	0.4325231568
164	0.4322742224
165	0.432165032
166	0.4318913466
167	0.4316842826
168	0.431279711
169	0.4311155742
170	0.4309276401
171	0.4306784925
172	0.4302769395
173	0.4299509784
174	0.4296636398
175	0.4295179769
176	0.4293033524
177	0.4290256718
178	0.4287116033
179	0.428488611
180	0.4281521398
181	0.4280921184
182	0.427737135
183	0.4275790857
184	0.4273670834
185	0.4272595278
186	0.4270625371
187	0.4268026256
188	0.4266426672
189	0.4263973227
190	0.4262633405
191	0.426097832
192	0.4260745651
193	0.4258897183
194	0.4257122725
195	0.4253666927
196	0.4250829873
197	0.4249731989
198	0.4249653909
199	0.4248060058
200	0.4244308002
201	0.424309956
202	0.4241128033
203	0.4238388637
204	0.4236936665
205	0.4235986025
206	0.4233713682
207	0.4231378722
208	0.4229945824
209	0.4228679995
210	0.4225746608
211	0.4225186447
212	0.4223797814
213	0.4220982268
214	0.4219880098
215	0.4218540268
216	0.4216983688
217	0.4214516191
218	0.4211685212
219	0.4209874969
220	0.4207847423
221	0.4206491843
222	0.4204492909
223	0.4202053581
224	0.4200172685
225	0.41972757
226	0.419429713
227	0.4192954042
228	0.4190252002
229	0.418858837
230	0.4186554254
231	0.418370602
232	0.4183697958
233	0.4180536575
234	0.4177584535
235	0.4175742948
236	0.4175678238
237	0.4174280767
238	0.4172487084
239	0.4170014519
240	0.41682589
241	0.4165764926
242	0.4164123181
243	0.4162808682
244	0.4162807706
245	0.4160871548
246	0.4158894072
247	0.4157933422
248	0.4154199966
249	0.4151131705
250	0.4147472154
251	0.4145511384
252	0.4143680036
253	0.4142749753
254	0.414118175
255	0.4139292992
256	0.4136797629
257	0.4135010562
258	0.4133510503
259	0.4132193112
260	0.4131010234
261	0.4129793612
262	0.4125885915
263	0.4124244766
264	0.4122203799
265	0.4121190355
266	0.4119299817
267	0.4117367525
268	0.4115447641
269	0.4112903413
270	0.4112187643
271	0.4109681149
272	0.4107033776
273	0.4105324461
274	0.4104511261
275	0.4101518023
276	0.4099157909
277	0.4097363141
278	0.4095151676
279	0.4093853024
280	0.4092482797
281	0.409089836
282	0.408821114
283	0.4086786158
284	0.4084045495
285	0.4083003531
286	0.408133964
287	0.4079418791
288	0.4078267837
289	0.4075024758
290	0.4073453237
291	0.4072210496
292	0.4070896763
293	0.406911676
294	0.4068249461
295	0.4065141195
296	0.4062821999
297	0.4061309684
298	0.405979107
299	0.4058051291
300	0.4056526898
301	0.4055091532
302	0.4053770456
303	0.4052573276
304	0.4049933359
305	0.40485997
306	0.4047662389
307	0.404442944
308	0.4041872841
309	0.4039983116
310	0.4037943886
311	0.4036521177
312	0.4036389628
313	0.4034168072
314	0.4031372901
315	0.4028788196
316	0.4027329377
317	0.4025139066
318	0.4023838057
319	0.4022858549
320	0.4021473063
321	0.4019854629
322	0.4018306423
323	0.4016825711
324	0.4016723332
325	0.4015802998
326	0.401456391
327	0.4013810984
328	0.4012501952
329	0.4010246275
330	0.4009269395
331	0.4007907721
332	0.4006328608
333	0.4005328608
334	0.4005119078
335	0.4003454338
336	0.4002133245
337	0.4000174255
338	0.3998586593
339	0.3996607664
340	0.3995346365
341	0.3993592843
342	0.3992313973
343	0.3989982887
344	0.3987455309
345	0.3986025767
346	0.3982856858
347	0.3982207129
348	0.3980557382
349	0.3978528904
350	0.3976814018
351	0.397546973
352	0.3973414054
353	0.3970648993
354	0.3967649083
355	0.3965553017
356	0.3964310298
357	0.396193023
358	0.3958915275
359	0.395724459
360	0.3955497783
361	0.3953676978
362	0.3952178099
363	0.3951430706
364	0.3949968554
365	0.394868775
366	0.394592553
367	0.3943596129
368	0.3941458795
369	0.3940495645
370	0.39397806
371	0.3937210956
372	0.3935353138
373	0.3934297238
374	0.393298519
375	0.3931409587
376	0.3929314366
377	0.3927510406
378	0.3925996708
379	0.3924959148
380	0.3923006896
381	0.3921752853
382	0.3920954778
383	0.3919344256
384	0.3917727165
385	0.3915742764
386	0.3914810607
387	0.3913566412
388	0.3910242794
389	0.3908582291
390	0.3907470446
391	0.3905867895
392	0.3903648241
393	0.3900994627
394	0.3900440962
395	0.389901395
396	0.3898118721
397	0.3897551607
398	0.3896723701
399	0.3895224685
400	0.3893728355
401	0.3892617211
402	0.3890671411
403	0.3888436364
404	0.3887202612
405	0.3884532595
406	0.3883140585
407	0.3881748719
408	0.3880892433
409	0.3878863959
410	0.3876956958
411	0.3874882417
412	0.3873396077
413	0.387197241
414	0.3870152601
415	0.3867996634
416	0.3865140341
417	0.3864128641
418	0.3862864187
419	0.3861572278
420	0.3859414736
421	0.3857995256
422	0.3855678779
423	0.385406328
424	0.3851760961
425	0.3849251982
426	0.3847833643
427	0.3847330703
428	0.3846185916
429	0.3845459261
430	0.3843523842
431	0.3841270489
432	0.3840252784
